NAME,TEAM,POSITION,CREDITS,POINTS,POINTS PER CREDIT,AVERAGE + ALLOWED POINTS
Bouteille Axel,BUD,F,12.3,13.3,1.08130081300813,30.44
Ferrell Yogi,BUD,G,12.0,4.8,0.39999999999999997,18.97
Jovanovic Dordije,BUD,F,5.3,5.0,0.9433962264150944,22.14
Sulaimon Rasheed,BUD,G,11.7,11.4,0.9743589743589745,25.57
Magee Fletcher,BUD,G,7.3,6.7,0.9178082191780822,20.87
Tanaskovic Nikola,BUD,C,7.9,13.6,1.721518987341772,24.47
Morgan Juwan,BUD,F,10.3,10.8,1.0485436893203883,27.94
Kovliar Oleksandr,BUD,G,8.6,0.6,0.06976744186046512,14.77
Mays Skylar,BUD,G,13.4,18.7,1.3955223880597014,32.87
Boutsiele Jerry,BUD,C,11.0,11.2,1.018181818181818,22.07
Thompson James,BUD,C,9.2,5.5,0.5978260869565218,16.369999999999997
Lukosiunas Karolis,LLI,F,5.2,0.0,0.0,12.45
Phillip Tarik,LLI,G,10.1,10.1,1.0,23.18
Soluade Mo,LLI,G,4.4,1.8,0.40909090909090906,14.88
Soko Ovie,LLI,F,6.8,-2.0,-0.29411764705882354,10.45
Mcgusty Kameron,LLI,G,12.4,19.2,1.5483870967741935,32.28
Williams Johnathan,LLI,C,10.7,10.7,1.0,19.59
Rai Aaryn,LLI,F,7.2,2.2,0.3055555555555556,14.649999999999999
Williams Deane,LLI,F,8.1,10.3,1.271604938271605,22.75
Reynolds Jr Shavar,LLI,G,9.9,0.0,0.0,13.08
Adamu Amin,LLI,G,6.7,2.2,0.3283582089552239,15.280000000000001
Scott Joel,LLI,F,11.0,7.9,0.7181818181818183,20.35
Forray Toto,TRE,G,4.2,-0.2,-0.047619047619047616,-0.2
Jogela Matas,TRE,F,7.9,9.4,1.1898734177215189,9.4
Hassan Patrick,TRE,G,4.0,1.2,0.3,1.2
Bayehe Jordan,TRE,C,7.6,8.6,1.131578947368421,8.6
Mawugbe Selom,TRE,C,8.4,9.3,1.1071428571428572,9.3
Jones Devante,TRE,G,10.7,16.0,1.4953271028037385,16.0
Niang Cheickh,TRE,G,4.7,2.7,0.574468085106383,2.7
Battle Khalif,TRE,G,8.5,-9.0,-1.0588235294117647,-9.0
Jakimovski Andrej,TRE,F,7.3,9.2,1.2602739726027397,9.2
Aldridge Peyton,TRE,F,8.9,10.0,1.1235955056179774,10.0
