NAME,TEAM,POSITION,CREDITS,POINTS,POINTS PER CREDIT,AVERAGE + ALLOWED POINTS
Sestina Nathan,EA7,F,5.1,1.7,0.33333333333333337,12.879999999999999
Lighty David,ASV,F,5.7,8.5,1.4912280701754386,19.48
De Colo Nando,ASV,G,13.8,21.7,1.572463768115942,34.67
Massa Bodian,ASV,C,7.1,7.0,0.9859154929577465,16.619999999999997
Ndiaye Mbaye,ASV,C,7.3,11.0,1.5068493150684932,20.619999999999997
Jackson Edwin,ASV,F,4.6,6.9,1.5000000000000002,17.880000000000003
Ajinca Melvin,ASV,F,4.7,2.4,0.5106382978723404,13.38
Harrison Shaquille,ASV,F,6.4,7.0,1.09375,17.98
Seljaas Zachary,ASV,F,9.6,10.3,1.0729166666666667,21.28
Traore Armel,ASV,F,7.3,5.1,0.6986301369863014,16.08
Vautier Bastien,ASV,C,6.5,5.3,0.8153846153846154,14.919999999999998
Watson Glynn,ASV,G,10.4,13.0,1.25,25.97
Thompson Darius,VBC,G,12.3,17.9,1.4552845528455283,30.99
De Larrea Sergio,VBC,G,6.9,9.7,1.4057971014492752,22.79
Pradilla Jaime,VBC,C,9.6,9.3,0.9687500000000001,28.05
Puerto Josep,VBC,G,6.3,6.6,1.0476190476190477,19.689999999999998
Costello Matthew,VBC,F,10.3,10.5,1.0194174757281553,22.240000000000002
Reuvers Nathan,VBC,F,8.3,13.6,1.6385542168674696,25.34
Sako Neal,VBC,C,9.1,5.2,0.5714285714285715,23.95
Moore Omari,VBC,G,11.3,17.5,1.5486725663716814,30.59
Taylor Kameron,VBC,F,8.5,7.1,0.8352941176470587,18.84
Nogues Isaac,VBC,G,4.4,0.1,0.022727272727272728,13.19
Colson Bonzie,FBB,F,9.6,11.3,1.1770833333333335,23.35
Baldwin Iv Wade,FBB,G,11.7,17.9,1.5299145299145298,36.519999999999996
Biberovic Tarik,FBB,F,6.7,2.2,0.3283582089552239,14.25
Birsen Metecan,FBB,F,4.2,5.9,1.4047619047619049,17.950000000000003
Hall Devon,FBB,G,9.9,17.0,1.7171717171717171,35.620000000000005
Melli Nicolo,FBB,C,8.9,8.1,0.9101123595505617,20.21
Bitim Onuralp,FBB,F,5.3,-0.1,-0.01886792452830189,11.950000000000001
Jantunen Mikael,FBB,F,8.3,7.1,0.8554216867469878,19.15
Birch Khem,FBB,C,6.2,3.2,0.5161290322580645,15.309999999999999
Boston Jr. Brandon,FBB,G,11.6,3.3,0.28448275862068967,21.92
Bacot Jr. Armando,FBB,C,10.6,6.8,0.6415094339622641,18.91
Horton Tucker Talen,FBB,G,9.9,9.5,0.9595959595959596,28.12
Bako Ismael,PBB,C,7.0,2.1,0.3,19.720000000000002
M'baye Amath,PBB,F,7.9,6.0,0.7594936708860759,20.42
Hommes Daulton,PBB,F,6.9,8.4,1.2173913043478262,22.82
Ouattara Yakuba,PBB,G,5.6,5.3,0.9464285714285715,15.489999999999998
Willis Derek,PBB,F,8.6,10.5,1.2209302325581395,24.92
Hifi Nadir,PBB,G,13.4,23.1,1.7238805970149254,33.29
Morgan Jeremy,PBB,F,8.0,8.5,1.0625,22.92
Herrera Sebastian,PBB,G,4.9,6.7,1.3673469387755102,16.89
Cavaliere Leopold,PBB,F,4.6,3.0,0.6521739130434783,17.42
Faye Mouhamed,PBB,C,7.4,6.5,0.8783783783783783,24.12
Dokossi Allan,PBB,F,7.8,8.6,1.1025641025641026,23.02
Robinson Justin,PBB,G,12.2,17.2,1.4098360655737705,27.39
Mirotic Nikola,ASM,F,15.5,17.8,1.1483870967741936,29.28
Hayes Kevarrius,ASM,C,6.2,2.7,0.43548387096774194,11.370000000000001
Nedovic Nemanja,ASM,G,6.8,2.0,0.29411764705882354,14.45
James Mike,ASM,G,15.1,16.7,1.1059602649006621,29.15
Strazel Matthew,ASM,G,7.2,8.3,1.152777777777778,20.75
Diallo Alpha,ASM,F,10.9,12.4,1.1376146788990826,23.880000000000003
Blossomgame Jaron,ASM,F,7.5,5.9,0.7866666666666667,17.380000000000003
Okobo Elie,ASM,G,11.3,9.5,0.8407079646017699,21.95
Tarpey Terry,ASM,G,4.4,0.9,0.20454545454545453,13.35
Theis Daniel,ASM,C,14.4,20.9,1.4513888888888888,29.57
Ulanovas Edgaras,ZAL,F,7.7,5.4,0.7012987012987013,15.0
Butkevicius Arnas,ZAL,F,7.2,12.3,1.7083333333333335,21.9
Brazdeikis Ignas,ZAL,F,6.8,1.9,0.27941176470588236,11.5
Birutis Laurynas,ZAL,C,7.0,9.8,1.4000000000000001,20.8
